raw_skill,normalized_skill
Effective communication and time management skills,Time Management
Validation Protocols and Reports,Validation Plan
Hardware and Software Installations,Hardware Installation
Direct Patient Care Provision,Patient Care
Document revision control,Source Code/Configuration Management (SCM)
Communicating about sports activities,Sports
Revision control systems,RCS (Revision Control System)
IA program performance metrics,Performance Metrics
Spec Equipment,Equipment Specification
Fractional Math,Mathematics
Professional experience in security law enforcement or military,Law Enforcement
Experience in program management,Project/Program Management
Pharmaceutical Contracting,Biotech and Pharmaceutical
Cash drawer reconciliation,Reconciliation
Category leadership solutions,Leadership
Ability to meet project deadlines,Time Management
Voluminous Document Review,Documentation Review
Working with Awarding Bodies Internal Quality Assurance staff,Quality Assurance
Sourcing Strategy,Sourcing Strategy
Negotiation / influencing skills,Negotiation Skills
Civil infrastructure experience,Civil Infrastructure
Clinical trialrelated laboratory tests,Clinical Laboratory
PM pillar,Hyperion Pillar
SCCM Infrastructure,System Center Configuration Manager (SCCM)
Brake System Parts,Braking Systems
Urine Collection and Processing,Specimen Collection
Electrical audits,Electricity
IT management controls,Management of Information Systems/Technology (MIS)
Chef,Cook Dishes
Employee Compensation Structure,Compensation and Benefits
Equipment cleaning/sanitation,Sanitation
Knowledge of Grammar Punctuation Spelling and Math,Mathematics
Documentation and Risk Management,Documentation
Anesthesia Notes,Anesthesiology
User Experience Tracking,User Interface/Experience (UI/UX)
PCB Engineering,Printed Circuit Board (PCB)
SAP performance optimization,SAP
Flexible remote work policies,Work From Home
Corrective Actions,Corrective Action
Clinical Diabetes Educator,Diabetes
xml xslt,XML (EXtensible Markup Language)
Familiarity with setting up image and configure various systems,Systems Administration/Management
DaVinci XI/SI,System Integration (SI)
CalPERS,California Public Employees Retirement System (CalPERS)
College math,Mathematics
Packet processing engine,Packet Processing
Comprehensive Background Check,Background Investigation
Open communication line with employees,Communication Skills
OnCall Program,On Call
EDI and compliance training,Electronic Data Interchange (EDI)
Tactical Operations Center (TOC) setup,Tactical Operations
Cost containment initiatives,Cost Control
Full Health and Dental Plan,Dental Insurance
U.S. Members of the Million Dollar Round Table (MDRT),Fast Food
SharePoint developer skills,Microsoft SharePoint
Scientific Laboratory Equipment Installation,Laboratory Equipment
Familiarity with retail policies procedures and standards,Retail
Engineering background in design build and install or service of custom equipment,Equipment Maintenance/Repair
Claims Adjuster,Claims Processing
Providing oral and written advice analysis interpretations and guidance on basic to moderately complex assignments and sensitive legal and policy matters,Legal
iPad Use,Apple iPad
Medical/Medical Terminology,Medical Terminology
Incident/breach response,Incident Response
MagnetRecognized for Nursing Excellence,Nursing
School Event Attendance,School Attendance
Commitment to Health and Safety Standards,Safety Standards
Food Service Area Cleaning,Food Services
Trade Data Analysis,Data Analysis
CPR/AED/First Aid Certifications,CPR Certification
IT category management,Category Management
Wireless Compliance,Wireless Communications
Inspection Sampling Techniques Experience,Sampling Inspection
B2B Marketing,Business-to-Business (B2B) Marketing
Physician Medication order clarification,Medications
Current CPR and Training Program,CPR Certification
Linux Domains,Linux Operating System
Pharmacy Sales Experience,Pharmacy
RICS Qualification (MRICS),Member of the Royal Institution of Chartered Surveyors
Journal Entry Preparation,Journal Entries
Leadership and Teaching Experience,Leadership
Machine language programming (C C++ Visual),C Programming Language
Residential day or community services for older people,Community and Social Services
Military Aircraft or Commercial Aircraft Experience,Military
Content Operations Management,Operations Management
Venous Injection Skills,Injections
Regulatory Requirements and Relevant Legislation,Regulatory Requirements
Office process improvement,Process Improvement
SE Implementation on DOD or Government Agency Projects,United States Department of Defense (DoD)
ArcGIS Server/Enterprise,ArcGIS
Scientific Emissions Testing Procedures,Testing
Ability to lead and enforce safety policies and procedures,Leadership
Employers' and Public Liability Law,Legal
Familiarity with US GAAP ASC 740,Generally Accepted Accounting Principles (GAAP)
Promotional Activity Planning,Promotional Programs
Visual Merchandising Experience,Visual Merchandising
IATF/ISO Certification,ISO (International Organization for Standardization)
Ambulatory Care Specific Conditions (ACSC),Ambulatory Care
Third party early and safe return to work,Safety/Work Safety
Finance Learning Programmes,Finance
Hospice care operations,Hospice Care
Ignition Systems Maintenance,Systems Maintenance
Inpatient Therapy,Patient Care
Marketing/Sales or Business Bachelor's Degree,Marketing
Experience applying regulations other official guidance and principles including the latest procedures and techniques sufficient to oversee the planning development and implementation of the technical aspects of programs specific to the position being filled,Regulations
Product or Brand Development,Brand Marketing (Branding)
Payroll and benefits orientations seminars and oneonone meetings,Seminars
Financial Valuations,Financial Analysis
Food and Nutrition degree,Nutrition
Cycle Count Processes,Inventory Cycle Counts
Profit and loss statement,Profit & Loss Statements
Proficient in Microsoft Office Suite and HRIS platforms,Microsoft Office
Operating Hand Tools,Hand Tools
Knowledge of Related State and Federal Regulations and Other Consensus Standards,Federal Laws and Regulations
Federal Term Life Insurance,Life Insurance
Certificate III in Fitness (highly regarded but not mandatory),Certificate III in Fitness
Ability to guide and monitor team performance,Performance Analysis
Digital video skills,Digital Video
zoning and permitting requirements,Zoning
Contingency Plan Development,Contingency Plans
ETL / ELT technologies,Database Extract Transform and Load (ETL)
Video game hardware,Video Games
Security Incident Detection,Computer Security
Meeting Agenda and Notes,Meeting Minutes
Experience in holistic mental health,Psychiatry and Mental Health
JSP Continuity Training Program,Training Program
Early Client Interaction,Customer Relations
Strong Prioritization and Organizational Skills,Organizational Skills
IT Operations Systems,Information Technology & Information Systems
Hiring process facilitation,Recruiting/Staffing/Hiring
American Registry of Radiology Technologists (ARRT),American Registry of Radiologic Technologists (ARRT)
Simulation Toolsets,Simulation
21 CFR Part 820 Quality System Regulations,Code of Federal Regulations
PPC Advertising,Pay-Per-Click Advertising
5 Years Experience in Risk Management or Loss Control,Risk Management
Neuroradiology CAQ,Neuroradiology
Expense Management Process,Expense Management
English Primary or Secondary Language,English Language
Knowledge of RecoveryFocused Nursing Services,Nursing
VMware vSphere 6.0+,VMWare vSphere
Bachelor's degree in an IT related field,Information Technology & Information Systems
AA/EEO compliance,EEO Compliance
Health data analytics,Data Analysis
Documentation and Reporting Systems,Documentation
Occurrence Data Analysis,Data Analysis
Sage X3 ERP,ERP (Enterprise Resource Planning)
Ability to work within deadlines,Time Management
Cadence ADE,Cadence
SW requirement analysis,Requirements Management
Collaboration with therapy leadership,Leadership
Ability to walk stand bend reach squat climb ladders and carry up to 40 pounds,Lift/Move 40 Pounds
MS Degree in Civil Engineering,Civil Engineering
valid auto insurance identification card,Auto Insurance
Starup/commissioning support,Commissioning
Flood Insurance,Insurance
CFD analysis software,Analysis Software
Comp TIA Network+ certification.,CompTIA Network+
Leadership development trainings,Leadership
Textile Designing,Textile Design
Ability to assimilate analyze and provide judgments on new and complex technical issues,Analysis Skills
Local store marketing,Marketing
Cisco and Meraki Wireless Controllers,Cisco Network Systems
Client contract management experience,Contract Management
4+ Years of Consumer Marketing Experience in CPG Food Service (Preferred),Consumer Marketing
Understanding of investment banking industry,Banking Services
Long Term Acute Care experience,Acute Care
liquid manufacturing,Manufacturing
Federal State Local Laws,State Laws and Regulations
cardiology,Cardiology
NIH R01 Funding,Funding
Site access control procedures,Access Control
Three years of RN experience,Registered Nurse (RN)
Web page construction and maintenance,Construction
Medical Renal Clinical Nurse Coordinator,Clinical Nursing
VMS (Voucher Management Systems),VMS Operating System
24/7 Core Lab Operations,Laboratory Operations
Intellectual and Developmental Disability,Developmental Disabilities
CPA (Active),Certified Public Accountant (CPA)
Printer installation and configuration,Printers
SEO monitoring,Search Engine Optimization (SEO)
Film Image,Film
C/C++ programming,C++ Programming Language
EPA licensure,Environmental Protection Agency (EPA)
Restaurant/entertainment/hospitality/bowling/amusement park/miniature golf experience,Restaurant
Engineering level electrical schematic diagrams,Engineering Drawing
Drug Chemistry,Chemistry
Cargo Tracing,Cargo/Freight
COTS Products Integration,Commercial Off-the-Shelf (COTS)
Underground Utility Construction Leadership,Construction
Tactful Negotiation,Negotiation Skills
Cancer Immunotherapy,Cancer
Analytical management,Analysis Skills
Private Security,Private Security
Photonic Manufacturing,Photonics
Hand tools and workshop equipment,Hand Tools
Clear technical communication,Communication Skills
PAC's System,PACSystems
